"","RESPONDENT_RACE","PARTNER_RACE","respondent_education","partner_education","PPPARTYID3","Q12"
"2207","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2208","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2209","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2210","(2) NH black","(6) Hispanic","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"2211","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2212","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"2213","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"2214","(2) NH black","(2) NH black","Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"2215","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2216","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(1) republican","(3) independent"
"2217","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2218","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"2219","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2220","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2221","(1) NH white","(4) NH Asian Pac Islander","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2222","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2223","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2224","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2225","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2226","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"2227","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2228","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(5) no preference"
"2229","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2230","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2231","(6) Hispanic","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2232","(6) Hispanic","(2) NH black","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"2233","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2234","(2) NH black","(4) NH Asian Pac Islander","Bachelors","Advanced degree","(3) democrat","(1) republican"
"2235","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(2) democrat"
"2236","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"2237","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2238","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2239","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(3) independent"
"2240","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"2241","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2242","(2) NH black","(2) NH black","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2243","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2244","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2245","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2246","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"2247","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2248","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"2249","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2250","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"2251","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"2252","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2253","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2254","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2255","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2256","(1) NH white","(6) Hispanic","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"2257","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"2258","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"2259","(2) NH black","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2260","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2261","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2262","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(2) other","(5) no preference"
"2263","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"2264","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"2265","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2266","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2267","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2268","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2269","(1) NH white","(1) NH white","Advanced degree","Bachelors","(1) republican","(5) no preference"
"2270","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(3) independent"
"2271","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"2272","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2273","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2274","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2275","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2276","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(1) republican","(1) republican"
"2277","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2278","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"2279","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2280","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(1) republican","(1) republican"
"2281","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2282","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(1) republican","(1) republican"
"2283","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2284","(4) NH Asian Pac Islander","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(1) republican"
"2285","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(3) independent"
"2286","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2287","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2288","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"2289","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(3) independent"
"2290","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2291","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2292","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2293","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2294","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2295","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2296","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"2297","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(4) another party, please specify"
"2298","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2299","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2300","(1) NH white","(2) NH black","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"2301","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2302","(6) Hispanic","(6) Hispanic","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"2303","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2304","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2305","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2306","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2307","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2308","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"2309","(2) NH black","(1) NH white","Bachelors","Bachelors","(3) democrat","(5) no preference"
"2310","(6) Hispanic","(6) Hispanic","Less than Bachelors","Advanced degree","(3) democrat","(5) no preference"
"2311","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2312","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2313","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(2) democrat"
"2314","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2315","(2) NH black","(2) NH black","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2316","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"2317","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"2318","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2319","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2320","(6) Hispanic","(6) Hispanic","Bachelors","Bachelors","(1) republican","(3) independent"
"2321","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(2) democrat"
"2322","(1) NH white","(5) NH Other","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2323","(1) NH white","(6) Hispanic","Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"2324","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(5) no preference"
"2325","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2326","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(3) independent"
"2327","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"2328","(6) Hispanic","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"2329","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2330","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(4) another party, please specify"
"2331","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2332","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2333","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"2334","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2335","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"2336","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2337","(6) Hispanic","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(5) no preference"
"2338","(1) NH white","(4) NH Asian Pac Islander","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2339","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2340","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2341","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2342","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(5) no preference"
"2343","(4) NH Asian Pac Islander","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"2344","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(2) other","(3) independent"
"2345","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2346","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2347","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"2348","(1) NH white","(5) NH Other","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2349","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2350","(3) NH Amer Indian","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"2351","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"2352","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2353","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2354","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2355","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"2356","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2357","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2358","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2359","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(2) democrat"
"2360","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2361","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"2362","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2363","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2364","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"2365","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"2366","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"2367","(6) Hispanic","(5) NH Other","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2368","(1) NH white","(6) Hispanic","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2369","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"2370","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2371","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"2372","(6) Hispanic","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2373","(2) NH black","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2374","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"2375","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(2) democrat"
"2376","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"2377","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2378","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(3) independent"
"2379","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2380","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(3) independent"
"2381","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(3) independent"
"2382","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2383","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2384","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","Advanced degree","Bachelors","(1) republican","(1) republican"
"2385","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"2386","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(3) independent"
"2387","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(3) independent"
"2388","(2) NH black","(2) NH black","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"2389","(2) NH black","(2) NH black","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"2390","(5) NH Other","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"2391","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2392","(6) Hispanic","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2393","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(1) republican","(1) republican"
"2394","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2395","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2396","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"2397","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2398","(6) Hispanic","(6) Hispanic","Advanced degree","Bachelors","(1) republican","(3) independent"
"2399","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"2400","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2401","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2402","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(3) independent"
"2403","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(3) independent"
"2404","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"2405","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"2406","(6) Hispanic","(6) Hispanic","Advanced degree","Less than Bachelors","(1) republican","(5) no preference"
"2407","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"2408","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"2409","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"2410","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"2411","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(3) independent"
"2412","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","Advanced degree","Bachelors","(3) democrat","(5) no preference"
"2413","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2414","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"2415","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"2416","(6) Hispanic","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2417","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(1) republican","(1) republican"
"2418","(5) NH Other","(1) NH white","Bachelors","Advanced degree","(3) democrat","(3) independent"
"2419","(5) NH Other","(5) NH Other","Less than Bachelors","Advanced degree","(3) democrat","(1) republican"
"2420","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"2421","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(3) independent"
"2422","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"2423","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2424","(6) Hispanic","(5) NH Other","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2425","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2426","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2427","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","Advanced degree","Advanced degree","(3) democrat","(5) no preference"
"2428","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2429","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2430","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2431","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2432","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2433","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2434","(2) NH black","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(1) republican"
"2435","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2436","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"2437","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2438","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2439","(1) NH white","(1) NH white","Advanced degree","Bachelors","(1) republican","(2) democrat"
"2440","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(2) democrat"
"2441","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(5) no preference"
"2442","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"2443","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2444","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"2445","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2446","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2447","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2448","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"2449","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2450","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2451","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2452","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"2453","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"2454","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"2455","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(1) republican","(2) democrat"
"2456","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(3) independent"
"2457","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(5) no preference"
"2458","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"2459","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"2460","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(1) republican","(5) no preference"
"2461","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"2462","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"2463","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2464","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2465","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2466","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"2467","(6) Hispanic","(6) Hispanic","Bachelors","Advanced degree","(1) republican","(1) republican"
"2468","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2469","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"2470","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"2471","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2472","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2473","(1) NH white","(3) NH Amer Indian","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2474","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"2475","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(2) democrat"
"2476","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(2) democrat"
"2477","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"2478","(1) NH white","(1) NH white","Advanced degree","Bachelors","(1) republican","(1) republican"
"2479","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"2480","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"2481","(1) NH white","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"2482","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"2483","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"2484","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"2485","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"2486","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"2487","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(1) republican","(5) no preference"
"2488","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
